library	file	raw_file	sample	source_name	compartment	age	strain	timepoint	group	multiplex
P1741_06_11B2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_14_26w_nonSPF_2days_proximal	11B2_14	proximal	26w	nonSPF	2days	26w_nonSPF_2days_proximal	HTO1
P1741_06_11B2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_14_26w_nonSPF_2days_distal	11B2_14	distal	26w	nonSPF	2days	26w_nonSPF_2days_distal	HTO2
P1741_06_11B2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_15_26w_nonSPF_2days_proximal	11B2_15	proximal	26w	nonSPF	2days	26w_nonSPF_2days_proximal	HTO3
P1741_06_11B2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_15_26w_nonSPF_2days_distal	11B2_15	distal	26w	nonSPF	2days	26w_nonSPF_2days_distal	HTO4
P1741_06_11B2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_16_26w_nonSPF_2days_proximal	11B2_16	proximal	26w	nonSPF	2days	26w_nonSPF_2days_proximal	HTO5
P1741_06_11B2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_06_11B2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_16_26w_nonSPF_2days_distal	11B2_16	distal	26w	nonSPF	2days	26w_nonSPF_2days_distal	HTO6
P1741_07_11B5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_07_11B5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_07_11B5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_22_26w_nonSPF_5days_fx	11B5_22	fx	26w	nonSPF	5days	26w_nonSPF_5days_fx	HTO4
P1741_07_11B5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_07_11B5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_07_11B5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_23_26w_nonSPF_5days_fx	11B5_23	fx	26w	nonSPF	5days	26w_nonSPF_5days_fx	HTO5
P1741_07_11B5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_07_11B5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_07_11B5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_24_26w_nonSPF_5days_fx	11B5_24	fx	26w	nonSPF	5days	26w_nonSPF_5days_fx	HTO6
P1741_08_11B5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_08_11B5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B5_22_26w_nonSPF_5days_proximal	11B5_22	proximal	26w	nonSPF	5days	26w_nonSPF_5days_proximal	HTO1
