"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.28678851382719e-88,0.925343615124867,1,0.849,9.79659779064927e-84,"15","Rpl36a"
1.28121007521103e-87,0.721971831696011,1,0.968,2.92794938487977e-83,"15","B2m"
4.8498798153214e-87,0.990703562572934,0.56,0.2,1.1083430341954e-82,"15","1700025G04Rik"
3.02488509866513e-85,1.02330645672371,0.793,0.466,6.91276991597942e-81,"15","Rinl"
4.39754936941993e-85,0.889656253583296,0.994,0.88,1.00497195739354e-80,"15","Rpl3"
4.58161532841188e-85,1.06390605594228,0.686,0.325,1.04703655100197e-80,"15","Sept6"
5.3314159432475e-85,0.982709410291675,0.857,0.437,1.21838848551035e-80,"15","Ifi203"
5.69794375745039e-85,0.92976322349545,0.583,0.218,1.30215108689014e-80,"15","Dgka"
8.48527419926728e-85,0.787914796525826,1,0.971,1.93913971275855e-80,"15","Eef1a1"
2.07186555152596e-84,1.14008363546964,0.784,0.459,4.73483434490227e-80,"15","Utrn"
4.19938404004872e-84,0.614318373190522,0.342,0.071,9.59685234672335e-80,"15","Jade2"
2.52085539939022e-83,0.627778036088157,0.44,0.116,5.76091084422646e-79,"15","Il21r"
1.87927167220959e-82,0.528959747743803,0.373,0.078,4.29469955250058e-78,"15","Slamf7"
5.87130486708909e-82,0.580203397149956,0.367,0.084,1.34176930127587e-77,"15","Nfatc2"
5.90511341731353e-82,0.527566855763674,0.266,0.045,1.34949556925866e-77,"15","Plcxd2"
9.21160174823223e-82,0.822754806082276,0.997,0.927,2.10512734752351e-77,"15","Rps5"
2.5954622696241e-81,0.819851324991876,0.997,0.942,5.93140992477196e-77,"15","Rpl18"
6.88546210528174e-80,1.67877063714925,0.796,0.496,1.57353465492004e-75,"15","Id2"
8.32072761061329e-80,0.776428203396617,0.485,0.149,1.90153588085345e-75,"15","Gm4070"
1.04545699103456e-79,0.882567761779509,0.597,0.229,2.38918286161129e-75,"15","Gbp7"
1.20496836918077e-79,0.778298890767419,1,0.941,2.75371421408882e-75,"15","Rpl21"
6.7329753685867e-78,0.840480404725109,0.994,0.88,1.53868686098312e-73,"15","Rpl14"
2.65698649511989e-77,0.728782383598497,1,0.969,6.07201123729748e-73,"15","Rpl37"
6.5595619878657e-77,1.00831633099675,0.933,0.764,1.49905670108695e-72,"15","Macf1"
1.49930848820272e-76,0.868496520111202,0.997,0.909,3.42636968808968e-72,"15","mt-Nd4"
8.03239546059558e-76,0.674706215195345,1,0.987,1.83564333460991e-71,"15","Rps29"
2.34291302291751e-75,0.827116627062094,1,0.968,5.35425913127338e-71,"15","mt-Atp6"
2.52595818920536e-75,0.900424370640669,0.941,0.835,5.77257224979102e-71,"15","Ptpn18"
7.83759882597042e-75,0.786190141539622,1,0.95,1.79112645969902e-70,"15","Rpl32"
1.26737365543123e-74,0.940640193558278,0.549,0.21,2.89632901475699e-70,"15","D16Ertd472e"
1.37724205168452e-74,0.78769619424003,0.412,0.114,3.14741126071463e-70,"15","Osbpl3"
2.47501423423807e-74,0.620039516256686,0.272,0.051,5.65615002950425e-70,"15","Pim2"
1.10616199817236e-73,0.767239118716752,1,0.904,2.52791201442329e-69,"15","Rpl22"
1.77813034526546e-73,0.583841195598323,0.364,0.09,4.06356127803515e-69,"15","Bcl9l"
2.6303261242258e-73,0.741385424125418,1,0.951,6.01108429169321e-69,"15","Rpsa"
3.41540282208785e-73,1.01912869601126,0.658,0.329,7.80522006931736e-69,"15","Itpkb"
4.54559814835765e-73,0.829045234273602,0.675,0.316,1.03880554484417e-68,"15","Tbc1d10c"
1.05172570551517e-72,0.716096046463266,0.997,0.938,2.40350875481383e-68,"15","Rpl8"
4.5982468127463e-72,0.916091948031831,0.916,0.771,1.05083734411691e-67,"15","Sp100"
1.67172773110543e-71,0.804138183487863,0.518,0.179,3.82039938389524e-67,"15","Cst7"
2.04314905246195e-71,0.68051920140087,1,0.949,4.66920852959128e-67,"15","Rpl9"
